indicator,year,dimension
Certificates of Assurance,2014,NA
Technology Adoption,2014,NA
Inputs,2014,NA
Access to Culturally Appropriate Food,2014,NA
Housing Supply and Quality,2014,NA
Nutritious Diets,2014,NA
Access to Social Support,2014,NA
Educational Attainment,2014,NA
"Mobility, Pain",2014,NA
Carbon Stocks,2014,NA
Biodiversity,2014,NA
Sensitive or Rare Habitats,2014,NA
Land Use Diversity,2014,NA
Water Quality,2014,NA
Embodied Carbon,2014,NA
Operations Diversification,2014,NA
Market Mix,2014,NA
Access to Land,2014,NA
Income Stability,2014,NA
Business Failure Rate,2014,NA
Wealth and Income Distribution,2014,NA
Participatory Governance,2015,NA
Community Safety,2015,NA
Social Connectedness,2015,NA
Producer Gender Diversity,2015,NA
Producer Racial Diversity,2015,NA
Producer Age Diversity,2015,NA
Conservation Program,2015,NA
Total Quantity Imported,2015,NA
Total Quantity Food Products,2015,NA
Value Added Market,2015,NA
Certificates of Assurance,2015,NA
Technology Adoption,2015,NA
Inputs,2015,NA
Access to Culturally Appropriate Food,2015,NA
Housing Supply and Quality,2015,NA
Nutritious Diets,2015,NA
Access to Social Support,2015,NA
Educational Attainment,2015,NA
"Mobility, Pain",2015,NA
Carbon Stocks,2015,NA
Biodiversity,2015,NA
Sensitive or Rare Habitats,2015,NA
Water Quality,2015,NA
Embodied Carbon,2015,NA
Operations Diversification,2015,NA
Market Mix,2015,NA
Access to Land,2015,NA
Social Connectedness,2016,NA
Producer Gender Diversity,2016,NA
Producer Racial Diversity,2016,NA
Producer Age Diversity,2016,NA
Conservation Program,2016,NA
Total Quantity Imported,2016,NA
Total Quantity Food Products,2016,NA
Value Added Market,2016,NA
Certificates of Assurance,2016,NA
Technology Adoption,2016,NA
Inputs,2016,NA
Access to Culturally Appropriate Food,2016,NA
Housing Supply and Quality,2016,NA
Nutritious Diets,2016,NA
Access to Social Support,2016,NA
Educational Attainment,2016,NA
Carbon Stocks,2016,NA
Biodiversity,2016,NA
Sensitive or Rare Habitats,2016,NA
Water Quality,2016,NA
Embodied Carbon,2016,NA
Operations Diversification,2016,NA
Market Mix,2016,NA
Access to Land,2016,NA
Participatory Governance,2017,NA
Social Connectedness,2017,NA
Total Quantity Imported,2017,NA
Technology Adoption,2017,NA
Access to Culturally Appropriate Food,2017,NA
Housing Supply and Quality,2017,NA
Access to Social Support,2017,NA
Educational Attainment,2017,NA
Carbon Stocks,2017,NA
Biodiversity,2017,NA
Sensitive or Rare Habitats,2017,NA
Social Connectedness,2018,NA
Producer Gender Diversity,2018,NA
Producer Racial Diversity,2018,NA
Producer Age Diversity,2018,NA
Conservation Program,2018,NA
Total Quantity Imported,2018,NA
Total Quantity Food Products,2018,NA
Value Added Market,2018,NA
Certificates of Assurance,2018,NA
Technology Adoption,2018,NA
Inputs,2018,NA
Access to Culturally Appropriate Food,2018,NA
Nutritious Diets,2018,NA
Access to Social Support,2018,NA
Carbon Stocks,2018,NA
Sensitive or Rare Habitats,2018,NA
Water Quality,2018,NA
Embodied Carbon,2018,NA
Operations Diversification,2018,NA
Market Mix,2018,NA
Access to Land,2018,NA
Participatory Governance,2019,NA
Social Connectedness,2019,NA
Producer Gender Diversity,2019,NA
Producer Racial Diversity,2019,NA
Producer Age Diversity,2019,NA
Conservation Program,2019,NA
Total Quantity Food Products,2019,NA
Value Added Market,2019,NA
Certificates of Assurance,2019,NA
Technology Adoption,2019,NA
Inputs,2019,NA
Access to Culturally Appropriate Food,2019,NA
Housing Supply and Quality,2019,NA
Access to Social Support,2019,NA
Educational Attainment,2019,NA
Carbon Stocks,2019,NA
Sensitive or Rare Habitats,2019,NA
Water Quality,2019,NA
Embodied Carbon,2019,NA
Operations Diversification,2019,NA
Market Mix,2019,NA
Access to Land,2019,NA
Social Connectedness,2020,NA
Producer Gender Diversity,2020,NA
Producer Racial Diversity,2020,NA
Producer Age Diversity,2020,NA
Conservation Program,2020,NA
Total Quantity Food Products,2020,NA
Value Added Market,2020,NA
Certificates of Assurance,2020,NA
Technology Adoption,2020,NA
Inputs,2020,NA
Access to Culturally Appropriate Food,2020,NA
Housing Supply and Quality,2020,NA
Nutritious Diets,2020,NA
Access to Social Support,2020,NA
Educational Attainment,2020,NA
Sensitive or Rare Habitats,2020,NA
Water Quality,2020,NA
Embodied Carbon,2020,NA
Operations Diversification,2020,NA
Market Mix,2020,NA
Access to Land,2020,NA
Participatory Governance,2021,NA
Social Connectedness,2021,NA
Producer Gender Diversity,2021,NA
Producer Racial Diversity,2021,NA
Producer Age Diversity,2021,NA
Conservation Program,2021,NA
Total Quantity Food Products,2021,NA
Value Added Market,2021,NA
Certificates of Assurance,2021,NA
Technology Adoption,2021,NA
Inputs,2021,NA
Access to Culturally Appropriate Food,2021,NA
Housing Supply and Quality,2021,NA
Access to Social Support,2021,NA
Educational Attainment,2021,NA
Carbon Stocks,2021,NA
Sensitive or Rare Habitats,2021,NA
Water Quality,2021,NA
Embodied Carbon,2021,NA
Operations Diversification,2021,NA
Market Mix,2021,NA
Access to Land,2021,NA
Social Connectedness,2022,NA
Access to Culturally Appropriate Food,2022,NA
Housing Supply and Quality,2022,NA
Nutritious Diets,2022,NA
Access to Social Support,2022,NA
Educational Attainment,2022,NA
Carbon Stocks,2022,NA
Participatory Governance,2023,NA
Community Safety,2023,NA
Social Connectedness,2023,NA
Producer Gender Diversity,2023,NA
Producer Racial Diversity,2023,NA
Producer Age Diversity,2023,NA
Conservation Program,2023,NA
Total Quantity Exported,2023,NA
Total Quantity Food Products,2023,NA
Value Added Market,2023,NA
Certificates of Assurance,2023,NA
Technology Adoption,2023,NA
Yield,2023,NA
Inputs,2023,NA
Nutritious Diets,2023,NA
Access to Social Support,2023,NA
Carbon Stocks,2023,NA
Sensitive or Rare Habitats,2023,NA
Water Quality,2023,NA
Embodied Carbon,2023,NA
Carbon Fluxes,2023,NA
Operations Diversification,2023,NA
Market Mix,2023,NA
Access to Land,2023,NA
Community Safety,2024,NA
Producer Gender Diversity,2024,NA
Producer Racial Diversity,2024,NA
Producer Age Diversity,2024,NA
Outmigration,2024,NA
Conservation Program,2024,NA
Total Quantity Exported,2024,NA
Total Quantity Forest Products,2024,NA
Total Quantity Food Products,2024,NA
Value Added Market,2024,NA
Certificates of Assurance,2024,NA
Technology Adoption,2024,NA
Yield,2024,NA
Inputs,2024,NA
Access to Culturally Appropriate Food,2024,NA
Housing Supply and Quality,2024,NA
Food Affordability,2024,NA
Nutritious Diets,2024,NA
Educational Attainment,2024,NA
Food Insecurity,2024,NA
Forest Complexity,2024,NA
Carbon Stocks,2024,NA
Forest Health,2024,NA
Sensitive or Rare Habitats,2024,NA
Water Quality,2024,NA
Embodied Carbon,2024,NA
Carbon Fluxes,2024,NA
Operations Diversification,2024,NA
Market Mix,2024,NA
Access to Land,2024,NA
